dataset,k,affinity,silhouette,calinski_harabasz,davies_bouldin
fma_small_clustering,6,rbf,-0.0010751280874913582,43.703206848815185,6.368213480394963
fma_small_clustering,8,rbf,-0.0042187207101054254,38.46139759127169,5.945252362612343
fma_small_clustering,10,rbf,-0.00905361589427833,35.00551547743758,5.437309748479749
fma_small_clustering,12,rbf,-0.010932678146518859,33.399135749055795,5.061769543434475
fma_small_clustering,6,knn,-0.01743429989710092,14.18688187689087,5.438053904621078
fma_small_clustering,8,knn,-0.016432461583576762,20.029995301059593,5.682470774690101
fma_small_clustering,10,knn,-0.01640285863141896,23.978002247671306,5.532203447669459
fma_small_clustering,12,knn,-0.015277304261028695,24.278061252034917,5.317424567945262
gtzan_clustering,6,rbf,-0.010530690559339672,7.266883349249549,5.833890509160312
gtzan_clustering,8,rbf,-0.005812416141932435,6.439692011402656,5.41753597376041
gtzan_clustering,10,rbf,-0.008021162263224926,6.338331345428829,4.854269828195266
gtzan_clustering,12,rbf,-0.008461336312560193,5.817185646652401,4.9778738752387905
gtzan_clustering,6,knn,0.008886021516750504,5.649819284611086,6.319404404531281
gtzan_clustering,8,knn,0.0020713031571203133,5.622605036540869,5.704244155543033
gtzan_clustering,10,knn,0.0029404278390630953,5.522589529581386,5.249079625206605
gtzan_clustering,12,knn,0.004994499833151814,5.373177948166945,4.927120802656593
instrumental_clustering,6,rbf,-0.0113978402028335,3.5958372811857653,5.655183346110746
instrumental_clustering,8,rbf,-0.015167580657900496,3.4661614285027165,5.059738058477491
instrumental_clustering,10,rbf,-0.015483696183774931,3.1307742485961656,4.966384971370567
instrumental_clustering,12,rbf,-0.011061764992655937,3.1415112300291366,4.410737683322203
instrumental_clustering,6,knn,0.004926570637291449,3.2622373259832513,5.8726278179765385
instrumental_clustering,8,knn,0.006004359398998048,3.1304744060775866,5.3871576118578135
instrumental_clustering,10,knn,0.011359531008869267,3.135549746168398,4.680533582352839
instrumental_clustering,12,knn,0.009999750188061499,3.044832223566339,4.50485009875248
