Algorithm,#Clusters,Silhouette,Davies-Bouldin,Calinski-Harabasz,ARI,NMI,V-Measure,Purity,Accuracy
K-Means,8,0.0723042166265944,2.4538394762527327,161.41748667578705,0.06880406078273545,0.12688305269883662,0.1268830526988366,0.3369788106630212,0.2761449077238551
MiniBatch K-Means,8,0.0796336177248144,2.5561932141130095,158.57736766053475,0.09174327602474697,0.13216166236027102,0.13216166236027105,0.35269993164730007,0.3041695146958305
Spectral Clustering,8,0.06734583640778714,2.2641137196252576,145.5354129064581,0.09049571932495139,0.14138679762429482,0.1413867976242948,0.36363636363636365,0.3192071086807929
DBSCAN,1,,,,0.0,0.0,0.0,0.25053686471009307,0.25053686471009307
GMM,8,0.009709080530072514,3.1216577740389617,95.46802383268887,0.08579758918802739,0.11218268401978253,0.11218268401978253,0.3513328776486671,0.2959671907040328
