Algorithm,#Clusters,Silhouette,Davies-Bouldin,Calinski-Harabasz,ARI,NMI,V-Measure,Purity,Accuracy
K-Means,8,0.0751756900883495,2.44256892941669,184.3247556176608,0.0792086139130639,0.12334734647755728,0.12334734647755727,0.3492822966507177,0.3068181818181818
MiniBatch K-Means,8,0.07972228995197018,2.5103467342762498,181.6149350201415,0.08915115849702614,0.12500758406574103,0.12500758406574103,0.36064593301435405,0.32476076555023925
Spectral Clustering,8,0.07007331778408042,2.22335893267799,165.6700997546318,0.0953206625443071,0.14036341790610932,0.14036341790610932,0.36483253588516745,0.32595693779904306
DBSCAN,1,,,,0.0,0.0,0.0,0.2515527950310559,0.2515527950310559
GMM,8,0.0025386706757485377,3.3591153330131984,99.28518570528323,0.10194358756085906,0.11877197050159206,0.11877197050159205,0.3456937799043062,0.3229665071770335
