Algorithm,#Clusters,Silhouette,Davies-Bouldin,Calinski-Harabasz,ARI,NMI,V-Measure,Purity,Accuracy
K-Means,8,0.07550906871462335,2.4117858101362977,138.193287259781,0.09053986206252879,0.1323579998726544,0.13235799987265437,0.3700159489633174,0.3157894736842105
MiniBatch K-Means,8,0.06958042661530077,2.5284439971352266,131.6904785658241,0.06077105749123757,0.11488672781087049,0.11488672781087049,0.3229665071770335,0.2743221690590112
Spectral Clustering,8,0.06450441453237427,2.2684271321709204,124.07821275126516,0.08562518751592876,0.1400063693459391,0.14000636934593913,0.36921850079744817,0.32137161084529503
DBSCAN,1,,,,0.0,0.0,0.0,0.2533557046979866,0.2533557046979866
GMM,8,0.008966207458315643,3.313087119684838,90.84736956197763,0.07601065029864108,0.10828926030105705,0.10828926030105704,0.3484848484848485,0.2623604465709729
