algo,combined_score
KMeans,0.8525215745074656
Spectral,0.8404157686546531
AgglomerativeWard,0.8401373197346166
MiniBatchKMeans,0.796074975254541
Birch,0.6165183186560752
AgglomerativeAverage,0.4898748960580223
DBSCAN,0.474163503254635
GMM,0.12977249777228356
