algo,train_ratio,silhouette_mean,silhouette_std,davies_bouldin_mean,davies_bouldin_std,calinski_harabasz_mean,calinski_harabasz_std,n_clusters_mean,n_clusters_std
AgglomerativeAverage,0.5,,,,,,,27.666666666666668,1.5275252316519472
AgglomerativeAverage,0.6,0.014383617149460117,,1.6910468395599678,,197.99655544450673,,27.333333333333332,0.5773502691896255
AgglomerativeAverage,0.7,,,,,,,26.0,1.0
AgglomerativeAverage,0.8,,,,,,,25.666666666666668,0.5773502691896255
AgglomerativeWard,0.5,0.10572841186082953,0.0036780409123531735,1.8689648725682577,0.01591248278186432,595.2883741744301,3.8286899763905726,30.0,0.0
AgglomerativeWard,0.6,0.10699921845255267,0.0015991248187334805,1.8385318888923685,0.019658946880561055,478.80117816318466,4.081986309752644,30.0,0.0
AgglomerativeWard,0.7,0.10630306908233843,0.0031825614018865917,1.85365296581067,0.009494705199493882,363.6711009160452,6.967569769860458,30.0,0.0
AgglomerativeWard,0.8,0.10638819011795546,0.005742367266325577,1.8454776124074295,0.032601184289284844,244.9820875539494,4.395494958017667,30.0,0.0
Birch,0.5,0.05303291453214676,0.005787910415305341,2.1845532359104456,0.06509180675181489,468.719850950403,7.801396452422613,30.0,0.0
Birch,0.6,0.056748517739227365,0.0030466332835343427,2.1482179509875405,0.05829647854222755,378.9800637058458,2.7600269045091896,30.0,0.0
Birch,0.7,0.054496062080079115,0.005673152151489644,2.200695456845357,0.07418393538890732,284.89333449086934,3.8746568319806416,30.0,0.0
Birch,0.8,0.05514773064060022,0.004617973270707917,2.1874680576567402,0.042157903963357564,194.44284571821058,3.9668138742428045,30.0,0.0
DBSCAN,0.5,0.0275929966058386,0.007751939482587297,2.2926470958055307,0.055501361612949635,410.1223271660239,23.709628942241242,6.0,0.0
DBSCAN,0.6,0.008977087872646679,0.0035704614491225053,2.2954298500115486,0.1327627065268456,327.11061812788995,39.6987778247243,7.0,1.0
DBSCAN,0.7,0.006595618419002689,0.002045074565372392,2.241775261359104,0.24610570107950377,246.97233375760163,30.91505620183036,7.666666666666667,1.5275252316519465
DBSCAN,0.8,0.00587904370144053,0.009306721656639767,2.1448123106465116,0.09858864174589332,167.60453962535385,17.502380272692772,8.666666666666666,1.5275252316519468
GMM,0.5,-0.029149417164110597,0.007286479654914683,3.7700915111319047,0.03262154248687488,311.4240322196748,33.527717036250166,27.0,1.7320508075688772
GMM,0.6,-0.02999046060227198,0.004212150806097368,4.058050899413836,0.25826611355105,251.4812222668603,12.844322493034602,26.666666666666668,1.154700538379251
GMM,0.7,-0.03140462373715711,0.005006745470397787,3.8491199719533227,0.38483997030861083,183.60897972582993,12.115328158799905,27.0,1.0
GMM,0.8,-0.04136540555331338,,3.9324571995076263,,118.74646137504116,,26.333333333333332,1.5275252316519465
KMeans,0.5,0.10987593837677688,0.00418596435335794,1.8766705284077887,0.024011802466822014,610.3666796912559,1.5005279791637798,30.0,0.0
KMeans,0.6,0.1097984945820583,0.005560347590330749,1.8721484919908649,0.03401402895723861,492.50288541570416,2.6063131101437884,30.0,0.0
KMeans,0.7,0.10807179292923491,0.0023938433376275367,1.8509945184535004,0.01909411810613164,371.25097607110297,3.951836867450679,30.0,0.0
KMeans,0.8,0.10927891244814257,0.003875720259154445,1.8635866566914376,0.017599901494818576,252.56128590401045,3.778870270526897,30.0,0.0
MiniBatchKMeans,0.5,0.09675429540114035,0.006746210747151356,2.0080583463048054,0.04427319566092497,582.9917637073335,2.6443547292613108,30.0,0.0
MiniBatchKMeans,0.6,0.09853564259602382,0.0042214302779779896,2.026150967728531,0.025894231680408827,462.8267953098363,9.145025970574448,30.0,0.0
MiniBatchKMeans,0.7,0.10061727332299854,0.00475760960768973,2.0123674684144217,0.01742120405035334,347.11824305139925,1.4126370579733103,30.0,0.0
MiniBatchKMeans,0.8,0.09990264215193706,0.0027834929766016106,1.9564299283209323,0.0635620713289557,239.11234145875832,11.624402773095722,30.0,0.0
Spectral,0.5,0.11105646211571758,0.001927556181414326,1.9148788566809258,0.05232033790550508,576.2942618385092,8.599829857048055,30.0,0.0
Spectral,0.6,0.11137688241621911,0.0023595022847032773,1.8753152215598827,0.03372474422040839,457.1687850560009,3.162208511634563,30.0,0.0
Spectral,0.7,0.1128592069004457,0.002888814180166484,1.83532484284311,0.0239055915814496,342.8790716019077,4.159965920296387,30.0,0.0
Spectral,0.8,0.11111886110110632,0.0026488533803259123,1.8260064411371706,0.016476946121031854,229.19301815720766,4.8590896103716394,30.0,0.0
