algo,train_ratio,test_size,random_state,n_clusters,dataset,total_samples,n_features,silhouette,davies_bouldin,calinski_harabasz,min_cluster_size,max_cluster_size,avg_cluster_size,noise_points,noise_ratio
Spectral,0.7,0.30000000000000004,0,30,spotify,20000,14,0.11349618075484268,1.841905983385665,347.0325292365699,9,565,200.03333333333333,,
GMM,0.7,0.30000000000000004,0,27,spotify,20000,14,-0.033956859875933575,4.224587794970048,172.86911303962341,10,761,222.25925925925927,,
DBSCAN,0.7,0.30000000000000004,0,6,spotify,20000,14,0.008735378579537975,2.3894221601140297,222.85127546570217,65,4222,1000.1666666666666,0.0,0.0
AgglomerativeWard,0.7,0.30000000000000004,0,30,spotify,20000,14,0.10306225886250109,1.8575084957356174,358.6237966758299,4,427,200.03333333333333,,
AgglomerativeAverage,0.7,0.30000000000000004,0,25,spotify,20000,14,,,,1,3106,240.04,,
Birch,0.7,0.30000000000000004,0,30,spotify,20000,14,0.049798174784024915,2.282754396942486,285.19241334899726,3,415,200.03333333333333,,
KMeans,0.7,0.30000000000000004,42,30,spotify,20000,14,0.1071596717978176,1.8726247060239936,370.4966233774464,4,372,200.03333333333333,,
MiniBatchKMeans,0.7,0.30000000000000004,42,30,spotify,20000,14,0.1023648604557194,1.9975236182389418,346.4650925138604,26,372,200.03333333333333,,
Spectral,0.7,0.30000000000000004,42,30,spotify,20000,14,0.11537637608764859,1.8088180336273258,338.7126278002242,4,564,200.03333333333333,,
GMM,0.7,0.30000000000000004,42,28,spotify,20000,14,-0.03462095135183579,3.4555469529934277,181.21536851330052,2,750,214.32142857142858,,
DBSCAN,0.7,0.30000000000000004,42,9,spotify,20000,14,0.0046606372929186715,1.9576703076359818,236.24313692622945,65,3963,666.7777777777778,0.0,0.0
AgglomerativeWard,0.7,0.30000000000000004,42,30,spotify,20000,14,0.10642295464355844,1.860613428656577,360.7688366685794,4,433,200.03333333333333,,
