"algo","train_ratio","test_size","random_state","n_classes","data","silhouette","davies_bouldin","calinski_harabasz","nmi","ari","acc_hungarian"
"DBSCAN","0.7","0.30000000000000004","1337","10","features_30_sec_cleaned.csv","0.16136209494579734","1.316133532838093","5.713293922173736","0.02717348816609173","-0.0007107766938092218","0.15346534653465346"
"KMeans","0.8","0.19999999999999996","0","10","features_30_sec_cleaned.csv","0.08987695598341522","2.022091536325248","11.490008724661575","0.4080755062567187","0.19688918324935145","0.4"
"MiniBatchKMeans","0.8","0.19999999999999996","0","10","features_30_sec_cleaned.csv","0.08120371687982629","2.3429459429011277","11.297470506535047","0.4094617591531263","0.1804643591593733","0.4"
"Spectral","0.8","0.19999999999999996","0","10","features_30_sec_cleaned.csv","0.07481340899357167","2.0794303166200057","10.793823462971277","0.4278008152420041","0.18208519588258404","0.4074074074074074"
"GMM","0.8","0.19999999999999996","0","10","features_30_sec_cleaned.csv","null","null","null","0.23496736363296386","0.08253201334107944","0.2518518518518518"
"DBSCAN","0.8","0.19999999999999996","0","10","features_30_sec_cleaned.csv","0.18394061363681913","1.3759563010955336","2.9590825930068045","0.017365689890745575","-0.0017623957675456715","0.14814814814814814"
"KMeans","0.8","0.19999999999999996","42","10","features_30_sec_cleaned.csv","0.10834123211441911","1.9523623821108012","13.972113478074943","0.41925267574500863","0.1960218435487349","0.4222222222222222"
"MiniBatchKMeans","0.8","0.19999999999999996","42","10","features_30_sec_cleaned.csv","null","null","null","0.40138141437541425","0.162274265226785","0.362962962962963"
"Spectral","0.8","0.19999999999999996","42","10","features_30_sec_cleaned.csv","0.09293810181658915","2.0100394532062795","13.441348392712461","0.4109794560131686","0.1662621061615944","0.4074074074074074"
"GMM","0.8","0.19999999999999996","42","10","features_30_sec_cleaned.csv","null","null","null","0.21100568534665987","0.06922513075413188","0.26666666666666666"
"DBSCAN","0.8","0.19999999999999996","42","10","features_30_sec_cleaned.csv","0.2045827231270669","1.27340115231154","5.157474557765814","0.02047004086141212","-0.0013509918078993181","0.14814814814814814"
"KMeans","0.8","0.19999999999999996","1337","10","features_30_sec_cleaned.csv","0.07834611762607087","2.2012605134817544","12.725183582891217","0.36500594574346845","0.13307481722472905","0.362962962962963"
"MiniBatchKMeans","0.8","0.19999999999999996","1337","10","features_30_sec_cleaned.csv","0.05162667238561341","2.506327516818644","11.972020672468503","0.35317119440064876","0.13608287113830436","0.3851851851851852"
"Spectral","0.8","0.19999999999999996","1337","10","features_30_sec_cleaned.csv","0.0976495543242862","1.884164584732325","13.21634711170229","0.38607968388481056","0.13874335919434935","0.37037037037037035"
"GMM","0.8","0.19999999999999996","1337","10","features_30_sec_cleaned.csv","null","null","null","0.1973727477241129","0.05282356159700389","0.2518518518518518"
"DBSCAN","0.8","0.19999999999999996","1337","10","features_30_sec_cleaned.csv","0.14550171582411117","1.2835284627691401","4.144029689527059","0.028073864505381903","-0.0016060156183686672","0.15555555555555556"
