Genre,Count,Percentage
blues,100,10.01
classical,100,10.01
country,100,10.01
disco,100,10.01
hiphop,100,10.01
metal,100,10.01
reggae,100,10.01
pop,100,10.01
rock,100,10.01
jazz,99,9.91
