"algorithm","k","n_clusters_found","silhouette_score","davies_bouldin_index","calinski_harabasz_index","nri","ari","purity"
"agglomerative","5","5","0.04832742600719683","3.0160254451260706","29.63568030180417","0.7066132264529058","0.14426376433981603","0.458"
"agglomerative","8","8","0.055256179285132496","2.636638381207461","25.035953721860384","0.7740921843687375","0.20937271180067682","0.53"
"agglomerative","10","10","0.06742365218394039","2.3108329882276712","22.685462909786647","0.7719839679358718","0.1959119925290464","0.53"
"agglomerative","16","16","0.06535169375858095","2.2269212702478676","19.00019563100262","0.7833186372745491","0.13822266777639214","0.554"
"gmm","5","5","0.06272483535336412","2.7264186013155554","34.3470576114721","0.7242244488977956","0.18021955016574828","0.474"
"gmm","8","8","0.06639315093777168","2.448906944370707","27.90462294624354","0.7424769539078157","0.11313412708388287","0.45"
"gmm","10","10","0.0699111212611957","2.4198396629830556","24.581846051082167","0.7600881763527054","0.1141447360030996","0.466"
"gmm","16","16","0.07071896439685092","2.3470618970895045","18.684682532183484","0.7796072144288577","0.12023025147187187","0.526"
"kmeans","5","5","0.0677394875400493","2.706404376291671","35.86638072797052","0.7162725450901803","0.17361473560343849","0.476"
"kmeans","8","8","0.06836720507747578","2.4534205149112807","28.47782369023818","0.7491783567134268","0.10866487003414241","0.432"
"kmeans","10","10","0.06469215342004991","2.3855695262941543","25.110259683095112","0.7607054108216433","0.10080299136982272","0.47"
"kmeans","16","16","0.07072354794726374","2.3032453535533324","19.71430733498483","0.7786132264529058","0.09645046855294204","0.51"
"spectral","5","5","0.023123466403338254","2.8668323602505206","21.317110314084992","0.6242244488977956","0.05755515159133432","0.386"
"spectral","8","8","0.04689126157643947","2.5327562344466132","22.969929353394228","0.7391743486973947","0.11505254103393761","0.476"
"spectral","10","10","0.0522061291186767","2.482129147811696","21.258283161297037","0.7617234468937876","0.1099490341633421","0.488"
"spectral","16","16","0.05539438001042101","2.4307721725078633","16.96968436048036","0.7852024048096192","0.10695283813151016","0.564"
