Feature,Mean,Std,Min,Max,Q1,Median,Q3
spec_centroid_mean,-2.1316282072803005e-16,1.001001502504383,-2.4527038627128794,3.7484560115751613,-0.6660850747181886,-0.08807797598591827,0.5951567445305044
spec_rolloff_mean,-4.973799150320702e-16,1.001001502504383,-2.531833851412274,3.317850305340967,-0.6546033956186107,-0.04643866874218144,0.6266311598413374
zcr_mean,-1.4921397450962105e-16,1.001001502504383,-1.7616800527320189,3.9843760547185125,-0.708316984635948,-0.20827511815595717,0.511389154997168
rms_mean,-5.471179065352771e-16,1.0010015025043828,-1.9396062427180543,3.375072123649259,-0.8671698671332477,-0.043677470411928494,0.8399401738868247
tempo,3.108624468950438e-16,1.0010015025043828,-2.0816617635949615,3.2444409755812864,-0.7706210893361929,-0.14489713116723527,0.758926363965704
mfcc1_mean,-8.526512829121202e-17,1.0010015025043828,-3.651559144390199,2.128873413070517,-0.7098618070502638,0.0959153296165566,0.7781702505868656
mfcc1_std,7.105427357601002e-17,1.001001502504383,-2.1167556875612648,5.8481812394612795,-0.6392470218752575,-0.1306249930623708,0.5047773238422286
mfcc2_mean,1.9895196601282806e-16,1.0010015025043828,-2.936888692748429,4.1470829409107575,-0.5242888026923063,-0.0191600918846241,0.394795969575592
mfcc2_std,-1.4210854715202004e-16,1.0010015025043828,-2.4258719027177476,4.235807924900268,-0.641182540379657,-0.11315116224811922,0.5685132697943652
mfcc3_mean,0.0,1.0010015025043828,-3.5975459009313355,1.734549017790212,-0.265757305369017,0.2725491916304191,0.6255407147167257
mfcc3_std,-1.7053025658242405e-16,1.0010015025043828,-2.225114614040399,3.8103615369363606,-0.7104722054906321,-0.10561525964648096,0.5252568278471382
mfcc4_mean,8.526512829121202e-17,1.0010015025043828,-4.975944360497689,4.567879405238154,-0.5607937279252138,-0.03557615908870711,0.5663812227828534
mfcc4_std,9.592326932761352e-17,1.0010015025043828,-2.0610590608305324,5.254234713820842,-0.6592068204650636,-0.17441516376172683,0.5080133829693637
mfcc5_mean,-1.4210854715202004e-17,1.0010015025043828,-3.667060583940179,2.9282562281663043,-0.41642736706367306,0.13672876030046532,0.630090819701443
mfcc5_std,-1.3855583347321954e-16,1.0010015025043826,-2.260554743391811,4.688693809426543,-0.7080575038795334,-0.1517554089897809,0.4844214425252891
mfcc6_mean,-7.105427357601002e-18,1.001001502504383,-4.03154802155725,2.089309425951695,-0.4506226844748724,0.11765246844216476,0.6382616902929725
mfcc6_std,-1.6342482922482304e-16,1.0010015025043828,-1.7004095534362722,4.2185500178556765,-0.7137724364007112,-0.20122888338924025,0.5601903871094411
mfcc7_mean,1.4210854715202004e-17,1.0010015025043828,-3.291834461592933,3.1766621762618352,-0.538889374999647,0.05805184181916896,0.6285893974798566
mfcc7_std,3.1974423109204507e-16,1.0010015025043828,-2.24765836280255,3.866046519189181,-0.695822935037836,-0.12865009305034167,0.6227839123123815
mfcc8_mean,-7.105427357601002e-18,1.0010015025043828,-4.087267395106995,3.278668896215781,-0.5789712718285535,0.10186217740518304,0.603587351728291
mfcc8_std,3.339550858072471e-16,1.0010015025043828,-2.369723699901413,5.083217168421214,-0.6965520602148949,-0.1282003465106427,0.5884187797261493
mfcc9_mean,3.552713678800501e-18,1.0010015025043828,-3.693193453741847,3.0101782971168567,-0.4806609736814711,0.0746205713338045,0.5483833550540188
mfcc9_std,-2.415845301584341e-16,1.001001502504383,-1.7256932284703177,4.807022061070709,-0.6931219239196362,-0.1287214068095584,0.5082274250629252
mfcc10_mean,0.0,1.0010015025043828,-3.0933780323252638,4.845613294071599,-0.6534749997789653,0.02507549940656547,0.6516168030421736
mfcc10_std,2.5579538487363605e-16,1.001001502504383,-2.1103628832400885,4.902481225552528,-0.6997951036449416,-0.1253215732223767,0.5538660870982379
mfcc11_mean,0.0,1.0010015025043828,-4.758637908126256,3.4418811230276627,-0.5823183748758823,-0.05403192607731702,0.6326748876491772
