Feature,Mean,Std,Min,Max,Q1,Median,Q3
spec_centroid_mean,-1.7692797205181777e-17,1.0009975064824248,-1.7878117985552429,5.61528203691081,-0.8014355954157875,-0.14682144503958372,0.5628708077330756
spec_rolloff_mean,-1.3800381820041787e-16,1.0009975064824248,-1.7257180106479544,2.832490259105961,-0.8277986977176671,-0.16732707403692523,0.6679621985319265
zcr_mean,1.4861949652352692e-16,1.0009975064824248,-1.4245914810381735,8.76773593694333,-0.5914510684689874,-0.1675197044159954,0.33446099927831957
rms_mean,-1.6985085316974506e-16,1.0009975064824246,-1.8579469924669674,3.0830542911957144,-0.7730729308595243,-0.0033896697977431668,0.703873764191054
tempo,3.503173846625992e-16,1.0009975064824248,-2.7787553689205615,5.219321334438342,-0.637731759098332,-0.07395124742100526,0.5046655935109888
mfcc1_mean,-1.1323390211316337e-16,1.0009975064824246,-3.2741709378095547,2.0802370273582302,-0.6442928358351843,0.13341790259751057,0.7852008082668265
mfcc1_std,-4.9539832174508976e-17,1.0009975064824248,-2.6685594060499684,4.121458025399445,-0.7148649345480532,-0.03716335331464527,0.6705327213721614
mfcc2_mean,1.3446525875938151e-16,1.0009975064824246,-5.198084712945581,2.8357407107868027,-0.608461389564877,-0.009232746186715428,0.6682464624397226
mfcc2_std,1.3446525875938151e-16,1.0009975064824248,-2.5637072585891016,4.256719766274157,-0.6938590964113034,-0.15161116156536236,0.5000744726356372
mfcc3_mean,0.0,1.0009975064824248,-4.290561158873089,2.9520809802943284,-0.5098962888134212,-0.02698038874442704,0.6992803100142502
mfcc3_std,1.0615678323109067e-16,1.0009975064824246,-2.3738070822728123,5.022053976253551,-0.7014798402844656,-0.14186312200591605,0.6374020461096914
mfcc4_mean,-7.077118882072711e-17,1.0009975064824248,-5.64621550080387,3.5166917362832955,-0.5235797145103706,0.08552786960946279,0.6078119434094647
mfcc4_std,3.5385594410363554e-17,1.0009975064824248,-2.3496029555039866,4.7178757491038406,-0.6932851463892541,-0.14365113332049592,0.4829350488071049
mfcc5_mean,7.077118882072711e-18,1.0009975064824248,-4.924161507015502,2.962497352963055,-0.5311898832856308,0.020159949694171307,0.6255279836774207
mfcc5_std,6.36940699386544e-17,1.0009975064824248,-2.2461789582312397,5.31748218845588,-0.6913170015578411,-0.15209670261638353,0.47399769504775285
mfcc6_mean,0.0,1.0009975064824246,-4.065505613514784,2.5220281465619867,-0.4858688609306311,0.15262264645235873,0.640679113151263
mfcc6_std,1.9285148953648138e-16,1.0009975064824246,-2.137611744855641,5.320322563285098,-0.6577838847815715,-0.2148562841050321,0.4523498964312914
mfcc7_mean,7.077118882072711e-18,1.0009975064824248,-4.9863145155719515,4.084025459159192,-0.5837839275301547,0.035467496088174705,0.5927949266813077
mfcc7_std,6.723262937969076e-17,1.0009975064824246,-2.0459579780142736,5.755397405397826,-0.6712230514898525,-0.18251756643997286,0.4531646935259396
mfcc8_mean,-2.8308475528290844e-17,1.0009975064824248,-3.89038240599254,3.8153018599338915,-0.5976218903973676,0.07313100648119966,0.6350795112644524
mfcc8_std,1.353498986196406e-16,1.0009975064824248,-2.0489191542565157,4.980593372420237,-0.6582651689542112,-0.1975725693356185,0.3589515300697361
mfcc9_mean,2.1231356646218133e-17,1.0009975064824248,-2.7301656240522005,4.733255179057035,-0.6184918874400525,0.021233682678953484,0.6103478863427377
mfcc9_std,7.254046854124529e-17,1.0009975064824248,-1.975514623634697,6.859379645929394,-0.6307476372182734,-0.18252989252759275,0.4177303763551309
mfcc10_mean,2.8308475528290844e-17,1.0009975064824248,-4.616940995014913,2.719329411710122,-0.5877803356110612,0.1173630650592565,0.6866452433391521
mfcc10_std,2.1231356646218133e-17,1.0009975064824248,-2.1220608236259904,5.589267151817778,-0.6160513202562582,-0.15665326132933122,0.510173752970782
mfcc11_mean,5.661695105658169e-17,1.0009975064824248,-4.533363677041959,5.092044748776489,-0.6259702504386717,0.07962625843809407,0.665712720509043
mfcc11_std,1.3181133917860425e-16,1.0009975064824246,-2.1126780012736,7.526706451395036,-0.5750516993897123,-0.1056448632599959,0.4327331539337805
mfcc12_mean,-4.9539832174508976e-17,1.0009975064824246,-3.728054672938742,2.832459351644712,-0.5671574431273398,0.11901185466915752,0.6194991134472654
mfcc12_std,7.784830770279983e-17,1.0009975064824248,-2.0389203448389788,6.467313783146731,-0.6408295938246844,-0.14863998444784504,0.49156945521832124
mfcc13_mean,1.4154237764145422e-17,1.0009975064824246,-4.657797514493356,4.579036792756206,-0.5836604529131664,0.06132841830635263,0.5925171590611473
mfcc13_std,-2.9723899304705385e-16,1.0009975064824248,-2.025458888971944,6.810656024771097,-0.6432076616052338,-0.1306606073647038,0.5039390938987565
mfcc14_mean,-2.8308475528290844e-17,1.0009975064824246,-3.633484100716891,4.201719801085302,-0.5932592124131963,0.0358271591758412,0.6208761248622454
mfcc14_std,9.55411049079816e-17,1.0009975064824248,-2.0399179561714837,5.066927357234552,-0.6253571579908483,-0.15378156656432243,0.4855564002317577
mfcc15_mean,0.0,1.0009975064824246,-3.7991902149431245,3.479866935169772,-0.5984853586935511,0.058631337211415405,0.5887573995508351
