file_path,duration,sr,spec_centroid_mean,spec_rolloff_mean,zcr_mean,rms_mean,tempo,mfcc1_mean,mfcc1_std,mfcc2_mean,mfcc2_std,mfcc3_mean,mfcc3_std,mfcc4_mean,mfcc4_std,mfcc5_mean,mfcc5_std,mfcc6_mean,mfcc6_std,mfcc7_mean,mfcc7_std,mfcc8_mean,mfcc8_std,mfcc9_mean,mfcc9_std,mfcc10_mean,mfcc10_std,mfcc11_mean,mfcc11_std,mfcc12_mean,mfcc12_std,mfcc13_mean,mfcc13_std,mfcc14_mean,mfcc14_std,mfcc15_mean,mfcc15_std,mfcc16_mean,mfcc16_std,mfcc17_mean,mfcc17_std,mfcc18_mean,mfcc18_std,mfcc19_mean,mfcc19_std,mfcc20_mean,mfcc20_std,chroma1_mean,chroma1_std,chroma2_mean,chroma2_std,chroma3_mean,chroma3_std,chroma4_mean,chroma4_std,chroma5_mean,chroma5_std,chroma6_mean,chroma6_std,chroma7_mean,chroma7_std,chroma8_mean,chroma8_std,chroma9_mean,chroma9_std,chroma10_mean,chroma10_std,chroma11_mean,chroma11_std,chroma12_mean,chroma12_std,dataset,label,subset
/kaggle/input/instrumental-music/Beats/Aaron_Dunn_-_Sonatina_No_2_in_G_Major__-_III_Allegro.mp3,145.47591836734694,22050,857.5346591671556,1585.2454786060187,0.05158707770607245,0.007619805634021759,143.5546875,-549.3862915039062,74.61985778808594,159.3395233154297,29.48598289489746,-15.625506401062012,22.942039489746094,14.879716873168945,12.014872550964355,12.79105281829834,13.461298942565918,7.131635665893555,10.476950645446777,-3.1717796325683594,9.546961784362793,-14.471497535705566,8.869961738586426,-5.594882488250732,10.961536407470703,-1.4855647087097168,10.919670104980469,-3.8175108432769775,10.302949905395508,-9.456791877746582,10.663779258728027,-6.172656536102295,11.809289932250977,-3.303100347518921,12.444839477539062,-4.2229766845703125,14.636032104492188,-0.5575200915336609,13.078285217285156,0.45977991819381714,13.727535247802734,-1.3731281757354736,11.967803001403809,-0.398266464471817,12.98409366607666,-0.22683419287204742,11.99052906036377,0.1734197437763214,0.2880748510360718,0.11910047382116318,0.18576791882514954,0.14971590042114258,0.27610278129577637,0.08027226477861404,0.11933485418558121,0.15878097712993622,0.3142632842063904,0.09026437252759933,0.13004815578460693,0.21645697951316833,0.2846444547176361,0.3160676956176758,0.39648932218551636,0.22907747328281403,0.20350812375545502,0.3986158072948456,0.43168941140174866,0.18192298710346222,0.17584453523159027,0.2285117357969284,0.33887922763824463,instrumental,instrumental,instrumental
/kaggle/input/instrumental-music/Beats/Background-Music-Free-Download-Mp3-Royalty-Free-Stock-Music--Chosic (1).mp3,65.89809523809524,22050,2859.695398717242,5799.317257903343,0.17368360200845667,0.01919413171708584,107.666015625,-196.0689697265625,26.117591857910156,73.5182876586914,9.054036140441895,-30.223989486694336,6.054502487182617,1.8171464204788208,6.476780891418457,-16.868896484375,5.604147434234619,-1.7864376306533813,4.981424808502197,-10.218825340270996,4.880885601043701,-4.713135719299316,4.908339977264404,-11.704466819763184,4.782731533050537,0.7577748894691467,4.906328201293945,-4.9621171951293945,4.317101001739502,5.749009609222412,4.28113317489624,-3.399519681930542,4.273556232452393,4.413104057312012,4.417608261108398,1.455848217010498,4.114888668060303,4.206288814544678,4.001458644866943,0.21797077357769012,4.105691909790039,4.229310035705566,4.094091892242432,-1.1919276714324951,3.7302069664001465,2.8224477767944336,3.8698694705963135,0.6766042709350586,0.20388785004615784,0.7230674624443054,0.21090026199817657,0.6815555691719055,0.2045929729938507,0.6103363633155823,0.20178437232971191,0.5978081822395325,0.20304816961288452,0.5746256113052368,0.19360047578811646,0.5939005017280579,0.20040282607078552,0.6652930974960327,0.20776644349098206,0.6720238924026489,0.21051722764968872,0.6024826169013977,0.19694936275482178,0.5959900617599487,0.20538166165351868,0.6670370101928711,0.21377453207969666,instrumental,instrumental,instrumental
/kaggle/input/instrumental-music/Beats/Background-Music-Free-Download-Mp3-Royalty-Free-Stock-Music--Chosic (10).mp3,24.03265306122449,22050,3759.2429203442216,7727.04236829603,0.1514374132782336,0.1075553223490715,161.4990234375,-189.37753295898438,155.11378479003906,35.109561920166016,26.390079498291016,28.578319549560547,23.816165924072266,21.674114227294922,15.951188087463379,17.673526763916016,11.70374584197998,18.521726608276367,12.423498153686523,1.8850845098495483,12.110818862915039,9.473076820373535,8.241527557373047,-4.039764404296875,8.72587776184082,1.8450536727905273,11.013596534729004,-2.2923531532287598,7.593206405639648,6.713326930999756,11.68885326385498,1.7567253112792969,9.002350807189941,2.637918710708618,7.661027908325195,-6.515865325927734,6.885087966918945,-2.5978775024414062,7.659294605255127,-4.1715216636657715,7.483904838562012,3.0432138442993164,6.595697402954102,-3.910151720046997,6.5984787940979,-1.8557859659194946,8.461487770080566,0.2941308617591858,0.29207685589790344,0.41712844371795654,0.2342984527349472,0.6712101101875305,0.39274072647094727,0.3296196758747101,0.23969188332557678,0.25202152132987976,0.22283001244068146,0.2222602367401123,0.20093777775764465,0.25008317828178406,0.1992483139038086,0.33440962433815,0.29297226667404175,0.42809855937957764,0.28605419397354126,0.5704919099807739,0.34458574652671814,0.3031124472618103,0.21583284437656403,0.26093053817749023,0.24810266494750977,instrumental,instrumental,instrumental
/kaggle/input/instrumental-music/Beats/Background-Music-Free-Download-Mp3-Royalty-Free-Stock-Music--Chosic (100).mp3,106.0,22050,1328.5002399902464,2787.807036511375,0.0540461897380092,0.1856304109096527,60.09265988372093,-125.41948699951172,48.98096466064453,132.6226043701172,24.63292121887207,1.3137606382369995,18.43187713623047,37.06326675415039,12.16846752166748,11.962896347045898,13.572051048278809,7.0537824630737305,9.503225326538086,-1.8394581079483032,10.454246520996094,3.7568514347076416,8.982406616210938,-4.702675819396973,8.773590087890625,1.5543484687805176,8.306387901306152,-4.190018653869629,9.806680679321289,-0.18370208144187927,9.259722709655762,-4.677091121673584,8.50998306274414,-2.2131969928741455,8.96068000793457,-8.455436706542969,9.281135559082031,0.5093420147895813,8.307971000671387,-3.611567735671997,7.929624080657959,0.6737601161003113,7.766374111175537,-4.9693427085876465,7.739659786224365,-1.205939769744873,8.122392654418945,0.25015535950660706,0.2310456782579422,0.3290638029575348,0.3075689375400543,0.34769558906555176,0.25056710839271545,0.45089030265808105,0.3910348415374756,0.26917821168899536,0.18612335622310638,0.35670870542526245,0.28623270988464355,0.40657126903533936,0.3285408318042755,0.3439464569091797,0.25290200114250183,0.3016767203807831,0.3105429708957672,0.26047977805137634,0.1849050223827362,0.44149497151374817,0.3296845853328705,0.2619984447956085,0.25584375858306885,instrumental,instrumental,instrumental
/kaggle/input/instrumental-music/Beats/Background-Music-Free-Download-Mp3-Royalty-Free-Stock-Music--Chosic (101).mp3,1234.4656689342403,22050,1753.7585842542771,3636.214785246256,0.10022081719352488,0.18416298925876617,143.5546875,-108.32939147949219,69.91714477539062,124.43321990966797,30.0098934173584,-22.500362396240234,24.112058639526367,18.656452178955078,13.091083526611328,-12.240743637084961,14.608583450317383,-1.8278157711029053,14.90799617767334,-21.177207946777344,13.387377738952637,-7.714869976043701,14.8814115524292,-14.50563907623291,11.573925018310547,-6.663749694824219,10.980685234069824,-10.580451965332031,12.485715866088867,-7.4652886390686035,12.32237720489502,-11.620184898376465,11.544681549072266,-4.6019978523254395,10.085280418395996,-9.834837913513184,11.986076354980469,-2.011826992034912,11.362242698669434,-7.348170757293701,11.380518913269043,-0.7447089552879333,11.227713584899902,-7.009909152984619,10.711641311645508,4.6223673820495605,11.471548080444336,0.3648456335067749,0.334529310464859,0.3825448751449585,0.33661335706710815,0.16293516755104065,0.1314224898815155,0.28286370635032654,0.3188383877277374,0.18703654408454895,0.18479566276073456,0.35210588574409485,0.315754234790802,0.3056834638118744,0.2963215708732605,0.2530483603477478,0.2111983597278595,0.4449487328529358,0.37045690417289734,0.19013027846813202,0.1361531913280487,0.29308122396469116,0.3175656795501709,0.23178516328334808,0.22376810014247894,instrumental,instrumental,instrumental
/kaggle/input/instrumental-music/Beats/Background-Music-Free-Download-Mp3-Royalty-Free-Stock-Music--Chosic (102).mp3,241.10231292517005,22050,838.1514683524969,1205.190609783531,0.04568030029673055,0.08056244254112244,234.90767045454547,-281.87164306640625,33.27436447143555,172.0745391845703,16.6060791015625,-4.113613605499268,7.300764083862305,7.635934829711914,9.600749969482422,-20.318227767944336,10.59192943572998,4.196748733520508,7.02963924407959,-10.549910545349121,8.853254318237305,-19.02144432067871,7.334045886993408,-10.94060230255127,7.4301629066467285,-11.79537296295166,9.444061279296875,-2.2295138835906982,8.693506240844727,-2.2590184211730957,9.674355506896973,-10.531108856201172,8.595948219299316,-0.7098087072372437,8.572843551635742,-3.8700525760650635,8.970880508422852,-11.303384780883789,8.959808349609375,-6.322576999664307,7.892107963562012,1.2482903003692627,7.667590141296387,-0.852929413318634,7.732624530792236,-3.538705587387085,8.064976692199707,0.103685162961483,0.11721222847700119,0.21146142482757568,0.3454544246196747,0.14302337169647217,0.13900451362133026,0.385661244392395,0.36220794916152954,0.38716572523117065,0.3855251371860504,0.1309189349412918,0.13945117592811584,0.16974514722824097,0.29653480648994446,0.1055031269788742,0.12748225033283234,0.2724539637565613,0.36394545435905457,0.10288283228874207,0.10776739567518234,0.22152110934257507,0.3205467164516449,0.2135448306798935,0.31423038244247437,instrumental,instrumental,instrumental
/kaggle/input/instrumental-music/Beats/Background-Music-Free-Download-Mp3-Royalty-Free-Stock-Music--Chosic (103).mp3,169.43600907029477,22050,2319.8589027243556,5584.87729140261,0.09989392695344615,0.2470373660326004,123.046875,-58.09097671508789,61.09501647949219,111.40699768066406,25.0969181060791,30.132694244384766,14.3713960647583,-11.280466079711914,14.094932556152344,-19.01218605041504,10.446159362792969,1.0033915042877197,9.359652519226074,-6.356028079986572,9.163464546203613,-2.1975131034851074,8.113570213317871,-12.194327354431152,8.438684463500977,-3.325638771057129,8.488839149475098,-6.420286178588867,8.917530059814453,8.490232467651367,7.782770156860352,-5.007721424102783,9.252053260803223,4.154265403747559,9.517252922058105,-11.27242660522461,7.849667072296143,9.189979553222656,7.5993170738220215,-6.988633632659912,7.234713077545166,6.893737316131592,7.725098133087158,-6.5963592529296875,8.876754760742188,6.975172519683838,8.369647979736328,0.1707683652639389,0.12009458243846893,0.41387659311294556,0.3427233397960663,0.18165333569049835,0.12213005870580673,0.39845654368400574,0.34786564111709595,0.3408285081386566,0.2977839708328247,0.14427350461483002,0.10919966548681259,0.40189608931541443,0.3567291498184204,0.141649529337883,0.10083461552858353,0.2543801963329315,0.30164873600006104,0.10210786014795303,0.09009549766778946,0.23351433873176575,0.2852861285209656,0.40288984775543213,0.3533107340335846,instrumental,instrumental,instrumental
/kaggle/input/instrumental-music/Beats/Background-Music-Free-Download-Mp3-Royalty-Free-Stock-Music--Chosic (104).mp3,164.62947845804987,22050,1781.1862478377261,3525.696849163993,0.08188120559952757,0.14912615716457367,198.76802884615384,-181.0330047607422,119.2208480834961,118.80987548828125,57.188621520996094,21.635787963867188,36.90676498413086,15.75432014465332,19.165000915527344,-6.300867080688477,20.744619369506836,3.722947597503662,13.672218322753906,-9.333459854125977,11.846317291259766,-1.2511183023452759,9.393425941467285,-9.886329650878906,8.60993480682373,-2.5450234413146973,8.593753814697266,-6.777272701263428,8.155009269714355,-2.7332088947296143,7.820529937744141,-3.3136367797851562,7.436148166656494,1.1741410493850708,7.472729682922363,-2.328165292739868,8.644987106323242,1.1649574041366577,7.964128017425537,-9.314408302307129,7.489512920379639,-1.1819008588790894,7.357460975646973,-1.708787441253662,6.421746253967285,-1.7354316711425781,7.419395923614502,0.5110487341880798,0.3649224638938904,0.32171568274497986,0.25275909900665283,0.3370150923728943,0.29698067903518677,0.2318902164697647,0.22930441796779633,0.2803800702095032,0.25596433877944946,0.3308369219303131,0.29627734422683716,0.29779642820358276,0.23356376588344574,0.4491860866546631,0.33206015825271606,0.3794955611228943,0.2530781328678131,0.5125271081924438,0.3587811291217804,0.4022887051105499,0.3119444251060486,0.3163563907146454,0.21417281031608582,instrumental,instrumental,instrumental
/kaggle/input/instrumental-music/Beats/Background-Music-Free-Download-Mp3-Royalty-Free-Stock-Music--Chosic (105).mp3,140.53832199546486,22050,1894.7908010065398,3730.114280238105,0.08434544337518586,0.16504837572574615,112.34714673913044,-105.54964447021484,34.07498550415039,104.14668273925781,21.933683395385742,-28.465925216674805,18.969844818115234,-0.2606784701347351,9.557289123535156,-24.439342498779297,13.461997032165527,-14.395502090454102,8.405234336853027,-19.912351608276367,11.286191940307617,-12.21649169921875,7.836353302001953,-17.396650314331055,10.007400512695312,-10.408787727355957,8.728730201721191,-12.076666831970215,9.050576210021973,-5.2755818367004395,9.185574531555176,-7.548962593078613,9.91995620727539,-3.1989002227783203,9.62614917755127,-6.460354328155518,9.181167602539062,-2.6272854804992676,8.899789810180664,-6.0600175857543945,8.211530685424805,-2.1526219844818115,8.509836196899414,-5.207705020904541,7.836520671844482,-3.6623566150665283,10.959235191345215,0.28793519735336304,0.37171533703804016,0.13802723586559296,0.1288183629512787,0.3784448206424713,0.39820247888565063,0.15846256911754608,0.21999293565750122,0.16556768119335175,0.22448158264160156,0.33071601390838623,0.37532317638397217,0.11938022822141647,0.12323374301195145,0.19756832718849182,0.3177846372127533,0.09977687895298004,0.13548718392848969,0.23909766972064972,0.3009078800678253,0.2194056510925293,0.28820285201072693,0.143182635307312,0.18884716928005219,instrumental,instrumental,instrumental
/kaggle/input/instrumental-music/Beats/Background-Music-Free-Download-Mp3-Royalty-Free-Stock-Music--Chosic (106).mp3,203.31392290249434,22050,1880.7440343419978,3760.35700736286,0.08699006196828252,0.16651952266693115,112.34714673913044,-113.79630279541016,98.00464630126953,109.0545425415039,23.5479679107666,-14.844130516052246,19.393310546875,5.607422828674316,10.06368637084961,-13.185791969299316,12.92181396484375,-5.061733722686768,9.722423553466797,-10.082171440124512,9.931143760681152,-5.038973331451416,8.414366722106934,-7.8514580726623535,9.008962631225586,-4.858572483062744,8.7710599899292,-6.690689563751221,7.612924098968506,-1.3073538541793823,8.742194175720215,-7.37789249420166,7.198172092437744,0.12845125794410706,7.557170391082764,-4.769787788391113,6.453567028045654,0.4720301330089569,7.05720329284668,-3.235867500305176,6.643410682678223,-2.577331781387329,6.756113529205322,-5.410333156585693,6.860777378082275,-2.468810796737671,9.829069137573242,0.3639276623725891,0.3853558599948883,0.14329038560390472,0.10490883141756058,0.29245561361312866,0.3461172580718994,0.13943032920360565,0.19511331617832184,0.18280403316020966,0.22431766986846924,0.347445547580719,0.37777626514434814,0.14363084733486176,0.11844455450773239,0.25191885232925415,0.3276796340942383,0.12306944280862808,0.11410695314407349,0.2928648889064789,0.3302280604839325,0.23147979378700256,0.2891724407672882,0.19781087338924408,0.22269201278686523,instrumental,instrumental,instrumental
/kaggle/input/instrumental-music/Beats/Background-Music-Free-Download-Mp3-Royalty-Free-Stock-Music--Chosic (107).mp3,241.11600907029478,22050,1270.8904449363774,2452.5634107373917,0.058390585504935005,0.07102984935045242,112.34714673913044,-239.76895141601562,79.78411102294922,129.94491577148438,33.24333953857422,-11.934926986694336,19.83846092224121,19.225906372070312,11.986353874206543,2.2623205184936523,12.92794418334961,23.500934600830078,9.434682846069336,23.83506202697754,9.193025588989258,14.112298011779785,8.241507530212402,8.321962356567383,8.284768104553223,-1.3704768419265747,8.0588960647583,-5.011032581329346,7.663715839385986,-4.61381721496582,7.600781440734863,-7.953218460083008,7.045618057250977,-5.126739501953125,7.168772220611572,-2.1924591064453125,6.572352409362793,-3.3306467533111572,6.241812229156494,-6.129154682159424,6.863071441650391,-3.7392685413360596,7.535335540771484,-1.871569037437439,8.06009578704834,2.6112966537475586,7.980936050415039,0.45764482021331787,0.35573408007621765,0.3847344219684601,0.2764037251472473,0.33063849806785583,0.30831411480903625,0.23781156539916992,0.1952039748430252,0.40279483795166016,0.3390585482120514,0.24041205644607544,0.20944708585739136,0.2539879083633423,0.29187554121017456,0.26791420578956604,0.28991106152534485,0.25635460019111633,0.19682295620441437,0.4969344735145569,0.36051055788993835,0.3121306598186493,0.1816113442182541,0.48138442635536194,0.3228214979171753,instrumental,instrumental,instrumental
